team,strength
Spain,100.0
Germany,100.0
France,99.3
Brazil,98.4
England,97.3
Argentina,93.6
Italy,93.4
Portugal,93.2
Belgium,88.3
Netherlands,87.4
Uruguay,78.6
Croatia,75.9
Colombia,73.9
Mexico,71.9
Switzerland,71.4
Morocco,71.2
Serbia,71.0
Denmark,71.0
Austria,69.9
Senegal,69.0
Poland,67.3
Czech Republic,67.3
Ivory Coast,67.2
Turkey,65.5
Russia,65.5
Sweden,64.4
Algeria,64.2
Nigeria,63.3
Scotland,63.1
Ukraine,63.0
Norway,61.9
Chile,60.8
Greece,60.0
United States,58.8
Cameroon,57.7
Ghana,57.7
Japan,57.7
Slovakia,56.8
Paraguay,56.6
Slovenia,56.2
Bosnia and Herzegovina,54.7
Tanzania,54.6
Romania,52.7
Wales,52.4
South Korea,52.2
Venezuela,52.2
Libya,51.8
Republic of Ireland,51.5
Mali,51.3
DR Congo,50.5
Mozambique,50.4
Peru,50.0
Ecuador,49.8
Central African Republic,48.3
Egypt,47.2
Hungary,46.7
Syria,46.2
Fiji,46.2
Australia,45.8
Canada,45.6
Albania,44.7
China,44.0
Gabon,42.7
Jamaica,41.6
Kosovo,40.7
Iceland,40.7
Suriname,38.9
Finland,38.9
South Africa,38.3
Bermuda,37.8
Saudi Arabia,36.7
Northern Ireland,36.5
Namibia,36.4
Guinea,35.8
Iran,35.4
Montenegro,34.9
North Macedonia,34.7
Madagascar,33.6
Cuba,33.6
Equatorial Guinea,33.6
Tunisia,32.8
Armenia,32.4
Togo,32.4
Costa Rica,32.1
Cape Verde,32.0
Zambia,30.3
Israel,30.1
Uzbekistan,30.1
Georgia,29.9
Honduras,29.8
Bolivia,29.2
Kazakhstan,28.0
Benin,27.7
Curaçao,27.5
Zimbabwe,27.4
Chad,27.3
Angola,26.7
Moldova,26.2
New Zealand,26.1
Gambia,26.1
Panama,25.4
Mauritius,25.2
Eritrea,25.2
Burkina Faso,24.1
Chinese Taipei,23.1
Iraq,23.1
Philippines,22.4
Comoros,21.5
Guinea Bissau,21.0
Sierra Leone,20.6
Luxembourg,20.4
Congo,19.7
Kenya,18.9
Antigua and Barbuda,18.2
Guam,16.8
Dominican Republic,16.8
Kyrgyzstan,16.8
Papua New Guinea,16.8
El Salvador,16.8
Liberia,16.8
Uganda,15.0
Jordan,14.0
Mauritania,14.0
Trinidad and Tobago,13.1
Haiti,13.0
Ethiopia,12.6
Andorra,12.6
Saint Lucia,12.6
Vietnam,12.6
Afghanistan,12.6
North Korea,12.6
Belarus,11.5
Bulgaria,10.9
Lithuania,10.7
Malta,10.5
United Arab Emirates,9.3
Thailand,8.4
Faroe Islands,8.4
Grenada,8.4
Lebanon,8.4
Belize,8.4
Bhutan,8.4
Azerbaijan,7.9
Burundi,7.9
Saint Kitts and Nevis,7.6
Malawi,6.3
Sudan,5.6
Barbados,4.2
Gibraltar,4.2
Cyprus,2.2
Palestine,2.1
Guatemala,2.1
Montserrat,0.8
Malaysia,0.0
Estonia,0.0
Puerto Rico,0.0
Indonesia,0.0
Guyana,0.0
Niger,0.0
Latvia,0.0
Hong Kong,0.0
India,0.0
South Sudan,0.0
